td0 starting with the finishing point from td1 and learning rate 0.0015 * 1e-12

V(θ[125],x₀) = 0.5918 and V(θ[125],xₜ) = -320266.627, Reward = -407758.2979, θ = [0.644399, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[126],x₀) = 0.5918 and V(θ[126],xₜ) = -63151.3576, Reward = -83411.2085, θ = [0.644399, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[127],x₀) = 0.5918 and V(θ[127],xₜ) = -257.0928, Reward = 1997.0632, θ = [0.644399, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[128],x₀) = 0.5918 and V(θ[128],xₜ) = 190999.513, Reward = 239508.5325, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[129],x₀) = 0.5918 and V(θ[129],xₜ) = 63796.9307, Reward = 83551.3823, θ = [0.644398, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[130],x₀) = 0.5918 and V(θ[130],xₜ) = 65085.6858, Reward = 81264.6506, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[131],x₀) = 0.5918 and V(θ[131],xₜ) = 64441.2129, Reward = 81879.5264, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[132],x₀) = 0.5918 and V(θ[132],xₜ) = 0.6777, Reward = -1281.0078, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[133],x₀) = 0.5918 and V(θ[133],xₜ) = -65084.3177, Reward = -81922.5614, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[134],x₀) = 0.5918 and V(θ[134],xₜ) = 64441.1608, Reward = 81890.4398, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[135],x₀) = 0.5918 and V(θ[135],xₜ) = -64697.6645, Reward = -82829.0867, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[136],x₀) = 0.5918 and V(θ[136],xₜ) = 0.5832, Reward = 0.9142, θ = [0.644397, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[137],x₀) = 0.5918 and V(θ[137],xₜ) = -320909.1673, Reward = -409187.6198, θ = [0.644395, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[138],x₀) = 0.5918 and V(θ[138],xₜ) = -194605.2824, Reward = -244489.7807, θ = [0.644393, 0.00890201, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
